"player","playerShort","birthday","height","weight","position","club","leagueCountry","refNum","goals","victories","defeats","yellowCards","games","redCards","rater1","rater2"
"Doni","doni","22.10.1979",194,89,"Goalkeeper","Liverpool FC","England",66,0,1,0,0,1,0,0.25,0.25
"Dorge Kouemaha","dorge-kouemaha","28.06.1983",188,86,"Center Forward","Eintracht Frankfurt","Germany",66,1,1,0,1,2,0,0.75,1
"Du-Ri Cha","du-ri-cha","25.07.1980",181,81,"Right Fullback","Fortuna Dusseldorf","Germany",66,0,0,0,0,1,0,0.5,0.25
"Duda","duda_2","27.06.1980",175,71,"Left Midfielder","Malaga CF","Spain",66,0,1,0,0,1,0,0.25,0.25
"Eden Hazard","eden-hazard","07.01.1991",170,69,"Right Winger","Chelsea FC","England",66,1,1,2,0,3,0,0.25,0.25
"Emanuel Pogatetz","emanuel-pogatetz","16.01.1983",189,90,"Center Back","VfL Wolfsburg","Germany",66,0,2,0,1,2,0,0.25,0.25
"Fabien Audard","fabien-audard","28.03.1978",188,89,"Goalkeeper","FC Lorient","France",66,0,1,2,0,3,0,0,0.25
"Fernando Gago","fernando-gago","10.04.1986",178,74,"Defensive Midfielder","Valencia CF","Spain",66,0,1,0,0,1,0,0.25,0.25
"Fernando Navarro","fernando-navarro","25.06.1982",176,69,"Left Fullback","Sevilla FC","Spain",66,0,1,0,0,1,0,0,0.25
"Florent Balmont","florent-balmont","02.02.1980",170,64,"Defensive Midfielder","Lille OSC","France",66,0,2,1,1,5,0,0,0
"Franck Beria","franck-beria","23.05.1983",180,72,"Right Fullback","Lille OSC","France",66,0,1,3,1,6,0,0.5,0.75
"Franck Ribery","franck-ribery","07.04.1983",170,72,"Left Midfielder","Bayern Munchen","Germany",66,0,1,3,0,4,0,0.25,0.25
"Francois Clerc","francois-clerc","18.04.1983",186,77,"Right Fullback","AS Saint-Etienne","France",66,0,3,1,0,4,0,0,0
"Gael Danic","gael-danic","19.11.1981",176,65,"Left Midfielder","Valenciennes FC","France",66,0,1,0,1,3,0,0,0
"Gaetan Bong","gaetan-bong","25.04.1988",183,74,"Left Fullback","Valenciennes FC","France",66,0,0,1,0,1,0,0.75,0.75
"Gareth Bale","gareth-bale","16.07.1989",183,74,"Left Winger","Tottenham Hotspur","England",66,1,0,1,0,1,0,0.25,0.25
"Gareth Barry","gareth-barry","23.02.1981",184,78,"Center Midfielder","Manchester City","England",66,0,1,0,0,1,0,0,0.25
"Gary Caldwell","gary-caldwell","12.04.1982",180,74,"Center Back","Wigan Athletic","England",66,0,0,1,0,1,0,0,0
"Georg Niedermeier","georg-niedermeier","26.02.1986",188,74,"Right Fullback","VfB Stuttgart","Germany",66,0,0,1,0,1,0,0,0
"Gervinho","gervinho","27.05.1987",179,68,"Right Winger","Arsenal FC","England",66,0,2,0,0,2,0,0.75,0.75
"Giorgios Karagounis","giorgios-karagounis","06.03.1977",176,83,"Attacking Midfielder","Fulham FC","England",66,1,2,0,1,2,0,0,0
"Gonzalo Higuai-n","gonzalo-higuain","10.12.1987",184,82,"Center Forward","Real Madrid","Spain",66,1,2,0,0,2,0,0,0.25
"Gregory Bourillon","gregory-bourillon","01.07.1984",187,76,"Center Back","FC Lorient","France",66,0,1,2,0,5,0,0.25,0.25
"Hanno Balitsch","hanno-balitsch","02.01.1981",182,80,"Defensive Midfielder","1. FC Nurnberg","Germany",66,0,0,0,0,1,0,0,0
"Heiko Westermann","heiko-westermann","14.08.1983",190,87,"Center Back","Hamburger SV","Germany",66,0,1,0,0,1,0,0.25,0.25
"Henrique","henrique","02.05.1983",188,87,"Center Back","Girondins Bordeaux","France",66,0,2,2,1,4,0,0.75,0.75
"Igor de Camargo","igor-de-camargo","12.05.1983",187,83,"Center Forward","Bor. Monchengladbach","Germany",66,1,0,0,0,1,0,0.5,0.5
"James Collins","james-collins","23.08.1983",188,83,"Center Back","West Ham United","England",66,0,0,1,1,1,0,0,0
"Jaroslav Plasil","jaroslav-plasil","05.01.1982",183,72,"Right Midfielder","Girondins Bordeaux","France",66,0,1,0,0,1,0,0.25,0.25
"Jefferson Farfan","jefferson-farfan","26.10.1984",178,84,"Left Winger","FC Schalke 04","Germany",66,0,0,1,0,2,0,0.75,0.75
"Jeremie Brechet","jeremie-brechet","14.08.1979",186,76,"Center Back","ESTAC Troyes","France",66,0,0,1,0,2,0,0,0.25
"Jeremy Mathieu","jeremy-mathieu","29.10.1983",192,83,"Left Fullback","Valencia CF","Spain",66,0,3,3,2,6,0,0,0
"Jermaine Jenas","jermaine-jenas","18.02.1983",179,76,"Center Midfielder","Nottingham Forest","England",66,0,2,1,0,3,0,0.25,0.25
"Jermaine Pennant","jermaine-pennant","15.01.1983",173,64,"Right Midfielder","Wolverhampton Wanderers","England",66,0,1,0,0,1,0,0.5,0.5
"Jimmy Briand","jimmy-briand","02.08.1985",180,74,"Center Forward","Olympique Lyon","France",66,0,0,1,1,1,0,0.5,0.75
"Johan Djourou","johan-djourou","18.01.1987",191,83,"Center Back","Arsenal FC","England",66,0,2,0,0,2,0,0.75,0.75
"John Utaka","john-utaka","08.01.1982",179,82,"Right Winger","Montpellier HSC","France",66,0,0,1,0,1,0,0.75,0.75
"Jos Hooiveld","jos-hooiveld","22.04.1983",191,74,"Center Back","Southampton FC","England",66,0,0,0,0,1,0,0.25,0.25
"Jose Saez","jose-saez","07.05.1982",170,63,"Defensive Midfielder","Valenciennes FC","France",66,0,0,1,0,1,0,0,0.25
"Julien Quercia","julien-quercia","17.08.1986",168,65,"Left Winger","FC Lorient","France",66,0,0,0,0,1,0,0.25,0.25
"Julien Sable","julien-sable","11.09.1980",181,73,"Defensive Midfielder","SC Bastia","France",66,0,1,1,2,5,0,0.25,0.25
"Kaka","kaka","22.04.1982",186,78,"Attacking Midfielder","Real Madrid","Spain",66,0,1,0,0,1,0,0,0
"Kevin De Bruyne","kevin-de-bruyne","28.06.1991",181,76,"Attacking Midfielder","Werder Bremen","Germany",66,0,0,1,0,1,0,0,0
"Kieran Gibbs","kieran-gibbs","26.09.1989",178,64,"Left Fullback","Arsenal FC","England",66,0,1,0,0,1,0,0.5,0.5
"Kieron Dyer","kieron-dyer","29.12.1978",171,65,"Attacking Midfielder","Queens Park Rangers","England",66,0,1,0,1,1,0,0.25,0.25
"Lionel Cappone","lionel-cappone","08.02.1979",182,74,"Goalkeeper","Stade Brest","France",66,0,1,0,0,1,0,0.25,0.25
"Loic Remy","loic-remy","02.01.1987",184,66,"Right Winger","Olympique Marseille","France",66,0,1,0,0,1,0,0.5,0.75
"Lukas Podolski","lukas-podolski","04.06.1985",180,80,"Center Forward","Arsenal FC","England",66,0,1,0,0,1,0,0,0
"Luuk de Jong","luuk-de-jong","27.08.1990",188,86,"Center Forward","Bor. Monchengladbach","Germany",66,1,1,0,0,1,0,0,0
"Manuel Neuer","manuel-neuer","27.03.1986",193,92,"Goalkeeper","Bayern Munchen","Germany",66,0,1,0,0,1,0,0.25,0.25
"Manuel Pablo","manuel-pablo","25.01.1976",176,80,"Right Fullback","Deportivo La Coruna","Spain",66,0,1,0,0,2,0,0.5,0.25
"Marko Arnautovic","marko-arnautovic","19.04.1989",192,83,"Right Winger","Werder Bremen","Germany",66,0,0,1,0,1,0,0,0.25
"Markus Feulner","markus-feulner","12.02.1982",181,82,"Attacking Midfielder","1. FC Nurnberg","Germany",66,0,1,0,0,1,0,0,0.25
"Martin Harnik","martin-harnik","10.06.1987",185,73,"Center Forward","VfB Stuttgart","Germany",66,0,0,1,0,1,0,0,0
"Martin Stranzl","martin-stranzl","16.06.1980",190,83,"Center Back","Bor. Monchengladbach","Germany",66,0,0,1,0,3,0,0.25,0.25
"Mats Hummels","mats-hummels","16.12.1988",192,90,"Center Back","Borussia Dortmund","Germany",66,0,1,0,0,1,0,0.25,0.25
"Matthew Upson","matthew-upson","18.04.1979",185,72,"Center Back","Stoke City","England",66,0,1,0,0,1,0,0,0.25
"Matthieu Chalme","matthieu-chalme","07.10.1980",179,75,"Right Fullback","Girondins Bordeaux","France",66,0,3,2,1,7,1,0.25,0.25
"Mevlut Erdinc","mevluet-erdinc","25.02.1987",179,69,"Center Forward","Stade Rennes","France",66,0,0,1,0,2,0,0,0
"Micah Richards","micah-richards","24.06.1988",180,83,"Right Fullback","Manchester City","England",66,0,1,0,0,1,0,1,1
"Michael Owen","michael-owen","14.12.1979",173,70,"Center Forward","Stoke City","England",66,1,2,0,0,2,0,0,0.25
"Mickael Landreau","mickael-landreau","14.05.1979",184,80,"Goalkeeper","Lille OSC","France",66,0,7,3,0,10,0,0,0.25
"Mikel Arteta","mikel-arteta","26.03.1982",176,69,"Attacking Midfielder","Arsenal FC","England",66,1,1,0,1,1,0,0,0
"Mouhamadou Dabo","mouhamadou-dabo","28.11.1986",176,65,"Left Fullback","Olympique Lyon","France",66,0,0,2,0,2,0,1,1
"Nene","nene_2","19.07.1981",181,70,"Left Midfielder","Paris Saint-Germain","France",66,0,0,1,0,1,0,0.25,0.25
"Nicolas Fauvergue","nicolas-fauvergue","13.10.1984",191,81,"Center Forward","Stade Reims","France",66,0,1,2,0,3,0,0.25,0.25
"Obafemi Martins","obafemi-martins","28.10.1984",176,67,"Center Forward","Levante UD","Spain",66,1,1,0,0,1,0,1,1
"Omar Daf","omar-daf","12.02.1977",177,70,"Right Fullback","FC Sochaux","France",66,0,1,1,1,3,0,0.75,0.75
"Oscar Wendt","oscar-wendt","24.10.1985",181,82,"Left Fullback","Bor. Monchengladbach","Germany",66,0,1,0,0,1,0,0,0
"Palop","palop","22.10.1973",184,83,"Goalkeeper","Sevilla FC","Spain",66,0,2,0,1,2,0,0.5,0.25
"Pantxi Sirieix","pantxi-sirieix","07.10.1980",180,70,"Defensive Midfielder","Toulouse FC","France",66,0,1,2,2,4,0,0.25,0.25
"Pape Diakhate","pape-diakhate","21.06.1984",181,75,"Center Back","Granada CF","Spain",66,0,1,1,0,2,0,1,1
"Paulo Ferreira","paulo-ferreira","18.01.1979",182,76,"Right Fullback","Chelsea FC","England",66,0,1,1,0,2,0,0.5,0.5
"Pepe","pepe_2","26.02.1983",188,81,"Center Back","Real Madrid","Spain",66,0,2,0,0,2,0,0.25,0.25
"Per Skjelbred","per-skjelbred","16.06.1987",175,74,"Attacking Midfielder","Hamburger SV","Germany",66,0,2,0,0,2,0,0,0
"Peter Crouch","peter-crouch","30.01.1981",202,80,"Center Forward","Stoke City","England",66,0,1,0,0,1,0,0,0
"Philipp Bargfrede","philipp-bargfrede","03.03.1989",174,71,"Defensive Midfielder","Werder Bremen","Germany",66,0,0,1,0,1,0,0.25,0.25
"Piotr Trochowski","piotr-trochowski","22.03.1984",168,73,"Attacking Midfielder","Sevilla FC","Spain",66,1,1,1,0,2,0,0.25,0.25
"Pique","pique","02.02.1987",192,85,"Center Back","FC Barcelona","Spain",66,0,1,0,0,1,0,0,0
"Pirmin Schwegler","pirmin-schwegler","09.03.1987",178,68,"Defensive Midfielder","Eintracht Frankfurt","Germany",66,0,1,0,0,1,0,0,0
"Rafael van der Vaart","rafael-van-der-vaart","11.02.1983",176,74,"Attacking Midfielder","Hamburger SV","Germany",66,0,2,0,0,2,0,0,0.25
"Raul Albiol","raul-albiol","04.09.1985",190,82,"Center Back","Real Madrid","Spain",66,0,1,0,0,1,0,0,0
"Remi Gomis","remi-gomis","14.02.1984",180,74,"Defensive Midfielder","Valenciennes FC","France",66,0,3,0,1,3,0,1,1
"Ricardo Carvalho","ricardo-carvalho","18.05.1978",182,79,"Center Back","Real Madrid","Spain",66,0,2,1,0,3,0,0.25,0.25
"Romaric","romaric","04.06.1983",187,88,"Defensive Midfielder","Real Zaragoza","Spain",66,1,0,2,0,2,0,0.75,0.75
"Romelu Lukaku","romelu-lukaku","13.05.1993",193,95,"Center Forward","West Bromwich Albion","England",66,1,1,1,0,2,0,0.75,0.75
"Ronan Le Crom","ronan-le-crom","13.07.1974",186,77,"Goalkeeper","Paris Saint-Germain","France",66,0,0,1,0,3,0,0.25,0.25
"Roy Contout","roy-contout","11.02.1985",174,62,"Center Forward","FC Sochaux","France",66,0,0,1,1,2,0,0.5,0.5
"Sebastian Boenisch","sebastian-boenisch","01.02.1987",191,85,"Left Fullback","Bayer Leverkusen","Germany",66,0,1,1,0,2,0,0,0
"Sebastian Mielitz","sebastian-mielitz","18.07.1989",188,73,"Goalkeeper","Werder Bremen","Germany",66,0,0,1,0,1,0,0,0
"Sebastien Bassong","sebastien-bassong","09.07.1986",187,84,"Center Back","Norwich City","England",66,0,0,1,0,2,0,1,1
"Simon Rolfes","simon-rolfes","21.01.1982",191,83,"Defensive Midfielder","Bayer Leverkusen","Germany",66,0,0,1,1,1,0,0,0
"Sotirios Kyrgiakos","sotirios-kyrgiakos","23.07.1979",193,88,"Center Back","VfL Wolfsburg","Germany",66,0,1,0,1,2,0,0.25,0.25
"Steed Malbranque","steed-malbranque","06.01.1980",173,72,"Attacking Midfielder","Olympique Lyon","France",66,0,1,1,0,3,0,0.25,0.25
"Stefan Kiessling","stefan-kiessling","25.01.1984",191,80,"Center Forward","Bayer Leverkusen","Germany",66,0,1,1,0,2,0,0,0
"Stephane Mbia","stephane-mbia","20.05.1986",189,82,"Defensive Midfielder","Queens Park Rangers","England",66,0,0,1,1,1,0,1,0.75
"Steven Gerrard","steven-gerrard","30.05.1980",188,83,"Center Midfielder","Liverpool FC","England",66,0,2,0,0,2,0,0,0
"Stilian Petrov","stilian-petrov","05.07.1979",180,77,"Center Midfielder","Aston Villa","England",66,0,1,0,1,1,0,0.25,0.25
"Szabolcs Huszti","szabolcs-huszti","18.04.1983",173,72,"Right Midfielder","Hannover 96","Germany",66,0,0,2,0,4,0,0,0
"Theo Walcott","theo-walcott","16.03.1989",170,68,"Center Forward","Arsenal FC","England",66,0,0,0,0,1,0,0.5,0.5
"Thibaut Courtois","thibaut-courtois","11.05.1992",199,88,"Goalkeeper","Atletico Madrid","Spain",66,0,1,0,0,1,0,0.25,0.25
"Thomas Kahlenberg","thomas-kahlenberg","20.03.1983",183,72,"Attacking Midfielder","VfL Wolfsburg","Germany",66,0,0,1,0,2,0,0,0
"Thomas Vermaelen","thomas-vermaelen","14.11.1985",180,73,"Center Back","Arsenal FC","England",66,0,1,1,0,2,0,0,0
"Tiago","tiago_3","02.05.1981",183,71,"Attacking Midfielder","Atletico Madrid","Spain",66,1,3,0,1,3,0,0,0
"Tim Wiese","tim-wiese","17.12.1981",193,100,"Goalkeeper","1899 Hoffenheim","Germany",66,0,0,1,0,1,0,0.25,0.25
"Timmy Simons","timmy-simons","11.12.1976",186,79,"Defensive Midfielder","1. FC Nurnberg","Germany",66,0,1,1,1,3,0,0,0
"Titus Bramble","titus-bramble","21.07.1981",187,87,"Center Back","Sunderland AFC","England",66,1,1,0,0,1,0,0.75,1
"Tomas Rosicky","tomas-rosicky","04.10.1980",178,67,"Attacking Midfielder","Arsenal FC","England",66,1,1,1,0,2,0,0,0
"Tranquillo Barnetta","tranquillo-barnetta","22.05.1985",178,68,"Left Midfielder","FC Schalke 04","Germany",66,0,2,0,1,2,0,0,0.25
"Valeron","valeron","17.06.1975",180,72,"Attacking Midfielder","Deportivo La Coruna","Spain",66,0,1,0,0,2,0,0,0.25
"Vedad Ibisevic","vedad-ibisevic","06.08.1984",188,80,"Center Forward","VfB Stuttgart","Germany",66,0,0,1,0,1,0,0.25,0.25
"Xabi Alonso","xabi-alonso","25.11.1981",183,77,"Defensive Midfielder","Real Madrid","Spain",66,0,1,0,1,2,0,0.25,0.25
"Yoann Gourcuff","yoann-gourcuff","11.07.1986",185,79,"Attacking Midfielder","Olympique Lyon","France",66,0,1,1,0,2,0,0.25,0
"Younes Kaboul","younes-kaboul","04.01.1986",190,87,"Center Back","Tottenham Hotspur","England",66,0,0,1,0,3,0,0.5,0.5
"Abdoulaye Diallo","abdoulaye-diallo_2","30.03.1992",189,80,"Goalkeeper","Stade Rennes","France",68,0,1,0,0,1,0,0.75,1
"Bartra","bartra","15.01.1991",183,70,"Center Back","FC Barcelona","Spain",68,0,1,0,0,1,0,0,0
"Chris Gunter","chris-gunter","21.07.1989",180,71,"Right Fullback","Reading FC","England",68,0,0,1,0,1,0,0.25,0
"Christian Norgaard","christian-noergaard","10.03.1994",186,75,"Attacking Midfielder","Hamburger SV","Germany",68,0,1,0,1,2,0,0,0.25
"Francis Coquelin","francis-coquelin","13.05.1991",178,73,"Defensive Midfielder","Arsenal FC","England",68,0,1,0,0,1,0,0.5,0.5
"Gareth Bale","gareth-bale","16.07.1989",183,74,"Left Winger","Tottenham Hotspur","England",68,0,0,1,0,1,0,0.25,0.25
"James Collins","james-collins","23.08.1983",188,83,"Center Back","West Ham United","England",68,0,0,1,0,1,0,0,0
"Jaroslav Plasil","jaroslav-plasil","05.01.1982",183,72,"Right Midfielder","Girondins Bordeaux","France",68,0,0,1,0,1,0,0.25,0.25
"Kevin Stoger","kevin-stoeger","27.08.1993",175,70,"Attacking Midfielder","VfB Stuttgart","Germany",68,0,0,0,0,1,0,0,0.25
"Martin Montoya","martin-montoya","14.04.1991",174,74,"Right Fullback","FC Barcelona","Spain",68,0,1,0,1,1,0,0.25,0.5
"Milan Petrzela","milan-petrzela","19.06.1983",175,65,"Right Midfielder","FC Augsburg","Germany",68,0,0,1,0,1,0,0,0
"Oriol Romeu","oriol-romeu","24.09.1991",182,79,"Defensive Midfielder","Chelsea FC","England",68,0,1,0,0,1,0,0.25,0.25
"Oscar Wendt","oscar-wendt","24.10.1985",181,82,"Left Fullback","Bor. Monchengladbach","Germany",68,0,1,0,0,1,0,0,0
"Richard Strebinger","richard-strebinger","14.02.1993",194,90,"Goalkeeper","Werder Bremen","Germany",68,0,0,0,0,1,0,0,0
"Thiago","thiago_17","11.04.1991",172,71,"Attacking Midfielder","FC Barcelona","Spain",68,1,1,0,0,1,0,0.5,0.5
"Tomas Pekhart","tomas-pekhart","26.05.1989",194,80,"Center Forward","1. FC Nurnberg","Germany",68,0,0,1,0,1,0,0,0.25
"Tomas Rosicky","tomas-rosicky","04.10.1980",178,67,"Attacking Midfielder","Arsenal FC","England",68,0,0,1,0,1,0,0,0
"Darren Bent","darren-bent","06.02.1984",180,73,"Center Forward","Aston Villa","England",69,0,0,1,0,1,0,1,1
"Gareth Barry","gareth-barry","23.02.1981",184,78,"Center Midfielder","Manchester City","England",69,0,1,0,0,1,0,0,0.25
"George McCartney","george-mccartney","29.04.1981",180,74,"Left Fullback","West Ham United","England",69,0,0,0,0,1,0,0,0
